date_scanned,ticker,archetype,total_score,category_a,category_b,category_c,category_d,category_e,price_at_scan,pct_off_high_at_scan,a1_pctoffhigh,a2_rsi,a3_williams,a4_stochastic,a5_bollinger,a6_support,a7_peg_lt1,a8_cyclical_judgment,b9_mktcap,b10_grossmargin,b11_opmargin,b12_netmargin,b13_roe,b14_roa,b15_dividend,b16_epstrend,b17_leverage_judgment,c18_macd,c19_ema,c20_aroon,c21_adx,c22_relvol,c23_rsirecross,d24_epsbeat,d25_noearnings2wk,d26_tailwind_judgment,d27_catalyst_judgment,d28_pegroe_combo,e29_liquidity,e30_not_concentrated,e31_iv_extreme,e32_fitstyle_judgment,b33_domainleadership_judgment,outcome_1q,outcome_1y
2026-07-07,CF,compounder,21,N/A,13,N/A,5,3,113.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,1,2,,
2026-07-07,GCT,compounder,N/A,N/A,N/A,N/A,N/A,N/A,34.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,KSPI,compounder,22,N/A,13,N/A,6,3,90.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
2026-07-07,MPLX,compounder,22,N/A,13,N/A,5,4,57.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,2,2,,
2026-07-07,VIK,compounder,23,N/A,13,N/A,6,4,99.685,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,2,2,,
2026-07-07,VG,compounder,21,N/A,12,N/A,6,3,11.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
2026-07-07,LAUR,compounder,N/A,N/A,N/A,N/A,N/A,N/A,39.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,MELI,compounder,26,N/A,13,N/A,9,4,1823.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,3,2,N/A,N/A,2,5,,
2026-07-07,CENX,compounder,N/A,N/A,N/A,N/A,N/A,N/A,45.425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,CPA,compounder,19,N/A,12,N/A,5,2,153.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,1,N/A,N/A,1,2,,
2026-07-07,ROST,compounder,20,N/A,12,N/A,4,4,215.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,2,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,3,2,N/A,N/A,2,2,,
2026-07-07,NVDA,compounder,25,N/A,14,N/A,8,3,197.315,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,3,2,N/A,N/A,1,5,,
2026-07-07,MRX,compounder,N/A,N/A,N/A,N/A,N/A,N/A,67.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,ADEA,compounder,N/A,N/A,N/A,N/A,N/A,N/A,28.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,RL,compounder,20,N/A,13,N/A,4,3,396.835,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,3,2,N/A,N/A,1,2,,
2026-07-07,NXPI,compounder,21,N/A,13,N/A,5,3,272.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,1,2,,
2026-07-07,ENR,compounder,14,N/A,8,N/A,4,2,20.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2,2,N/A,3,1,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,3,1,N/A,N/A,1,2,,
2026-07-07,SYY,compounder,20,N/A,11,N/A,5,4,84.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,2,5,,
2026-07-07,GDDY,compounder,22,N/A,13,N/A,5,4,90.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,2,5,,
2026-07-07,EXEL,compounder,22,N/A,13,N/A,6,3,57.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
2026-07-07,SEZL,compounder,N/A,N/A,N/A,N/A,N/A,N/A,178.4875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
